,category,value
0,D,243.2007519213505
1,A,998.8880565282335
2,D,640.233962280551
3,A,686.3905342822587
4,B,178.35220912062232
5,C,39.65634093356596
6,B,913.1848593493406
7,C,141.44013959614864
8,C,498.1636787668271
9,A,318.4724711891599
10,B,879.1801691554756
11,A,496.01871864842883
12,A,244.1580279767347
13,C,730.5558970582385
14,B,572.9658415891081
15,A,495.20696376396154
16,A,421.38749334780914
17,A,685.2715173658072
18,B,371.11349224915216
19,D,111.95144792861234
20,B,732.1068087410821
21,A,557.3919175497589
22,D,739.1258819785475
23,C,658.0266657310232
24,D,298.6177750906679
25,C,394.63048535176273
26,D,865.0779790192781
27,B,478.66886980597724
28,D,699.9784029103101
29,B,331.14993586955865
30,D,709.2445633539069
31,A,351.2600359356959
32,A,800.7244567086858
33,B,247.76328703803873
34,A,545.433028776789
35,D,823.5581927937885
36,B,831.6494997175797
37,C,805.655960522547
38,C,155.96098622923728
39,B,236.60011132669723
40,C,949.4311182749067
41,B,885.790149501992
42,B,470.0433335760208
43,B,172.1383018209416
44,B,491.64478337304695
45,D,175.73416059129798
46,B,930.5942814014644
47,D,251.90430775710493
48,D,779.3278379650112
49,C,207.24903699531748
50,B,138.00655956678486
51,C,175.4630547848608
52,D,169.61097827122117
53,C,206.19040506102226
54,D,32.542560496299224
55,A,97.43779857258039
56,D,853.1493919722013
57,C,186.40437565053182
58,C,711.2267607274282
59,B,134.53514152739376
60,C,7.786523362544262
61,A,252.02459475130868
62,C,65.36388599635067
63,C,203.54349957051622
64,A,53.262634472750925
65,C,179.38375041513444
66,D,761.0684429582407
67,B,37.429597055512744
68,A,663.3722098865159
69,D,210.96599356249857
70,D,756.9431224716792
71,B,635.7316909030226
72,B,503.48571107859897
73,B,61.34867838594482
74,C,47.380453465218906
75,D,631.3620062123799
76,D,719.6372400179458
77,B,835.325761626845
78,D,833.1023845639891
79,D,909.1999917361615
80,C,957.9802822964136
81,C,582.0948323675307
82,A,274.4857787821543
83,C,822.1659158866594
84,B,569.748609798158
85,B,567.2479250351793
86,C,92.14408955850007
87,B,391.2721704583823
88,B,517.7864897952716
89,A,439.8029867412676
90,A,445.5268263210661
91,D,55.63806002059912
92,C,257.5247640943088
93,A,260.6666032389654
94,D,701.2236764910215
95,A,902.2927542136413
96,D,389.41000044938835
97,B,365.0700360662664
98,B,907.5152203676055
99,C,507.9822868803061
